folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,combus,eli_basura,tenencia,estim_pago,escrituras,tot_resid,tot_hom,tot_muj,est_socio,ing_tri,ing_tri_pc
1906171704,1,8,10,3,1,1,2,3,1,1,1,1,2,1,1,1,0,1,1,4,1,4,4000,1,4,2,2,4,131267.14,32816.785
1906171705,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,0,0,1,1,4,1,2,6000,,2,1,1,4,89016.37,44508.185
1906172601,1,8,10,3,1,2,3,4,1,1,1,1,2,1,1,1,0,1,1,4,1,4,5000,1,5,2,3,3,106672.09,21334.418
1906172602,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,3,2500,1,2,2,0,3,37819.64,18909.82
1906172603,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,3,6000,1,4,2,2,3,82524.55,20631.1375
1906172605,1,8,10,3,1,2,3,4,1,1,1,1,2,1,1,1,0,1,1,4,1,4,6000,1,1,0,1,3,26557.36,26557.36
1906172606,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,5,1,4,6000,1,1,0,1,3,17704.9,17704.9
1906173901,1,8,10,3,1,2,1,6,1,1,1,1,2,1,1,0,0,1,1,4,1,4,5000,1,2,1,1,4,10521.17,5260.585
1906173903,1,8,10,3,1,2,2,6,1,1,1,1,2,1,2,1,0,1,1,4,1,3,7000,1,3,2,1,4,143315.21,47771.73667
1906173904,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,1,0,1,1,4,1,3,7500,1,5,3,2,4,233070.62,46614.124
1906173905,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,1,0,1,1,3,2,3,9000,1,4,2,2,4,166304.34,41576.085
1906173906,1,8,10,3,1,2,1,6,1,1,1,1,2,1,2,1,0,1,1,4,1,3,8000,1,2,1,1,4,234293.47,117146.735
